player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5,framing,arm,zr,pa,pm
1277,2019,22,200,1,0,7,1,0,1,0,1,2,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0173,1,1
1277,2020,22,200,1,0,4,100,48,49,0,216,28,26,3,15,0,0,0,0,0,43,43,3,47,42,10,6,9,3,12,2,18,2,3,0,0.0,0.0,-1.2031,99,55
1277,2020,22,200,1,0,9,1,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,-0.0809,0.2849,1,1
1277,2020,22,200,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
1277,2021,22,200,1,0,4,112,55,56,0,222,27,26,1,16,0,0,0,0,0,47,49,1,53,48,7,4,10,3,7,2,6,0,7,0,0.0,0.0,-1.059,90,57
1277,2021,22,200,1,0,5,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
1277,2022,22,200,1,0,4,103,44,59,0,215,26,26,0,14,0,0,0,0,0,39,43,0,38,35,15,11,10,3,13,5,13,0,3,0,0.0,0.0,-0.5685,92,54
1277,2022,22,200,1,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
1277,2023,22,200,1,0,4,109,55,54,0,218,27,26,0,16,0,0,0,0,2,46,50,0,45,43,12,8,7,3,6,1,15,2,6,0,0.0,0.0,-0.0881,91,57
1277,2024,22,200,1,0,4,82,38,43,0,222,29,26,1,10,0,0,0,0,1,34,37,1,42,38,11,7,8,3,11,1,14,1,9,0,0.0,0.0,-1.5684,95,50
1277,2025,22,200,1,0,4,82,33,46,0,217,27,26,3,7,0,0,0,0,1,35,38,3,41,33,6,4,10,3,10,3,21,2,5,0,0.0,0.0,-2.5831,93,45
1284,2016,22,200,1,0,9,11,0,11,0,52,48,0,0,0,0,0,0,0,0,11,10,0,9,9,3,2,0,0,1,0,1,0,4,0,0.0,-0.2973,0.1252,18,11
1284,2017,22,200,1,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
1284,2017,22,200,1,0,9,8,1,7,0,47,49,0,0,0,0,0,0,0,0,7,7,0,7,7,0,0,1,0,1,0,2,0,3,0,0.0,-0.3054,-0.2735,14,7
1284,2018,22,200,1,0,9,13,0,13,0,49,47,0,0,0,0,0,0,0,1,13,13,0,9,9,2,2,2,2,2,0,1,0,7,0,0.0,-0.3027,0.2204,23,13
1284,2019,22,200,1,0,9,12,0,12,0,44,48,0,0,0,0,0,0,0,0,12,12,0,8,8,3,3,1,1,0,0,5,0,8,0,0.0,-0.246,0.1992,25,12
1284,2020,22,200,1,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,-0.0152,1,0
1284,2020,22,200,1,0,9,10,0,9,0,42,41,0,1,0,0,0,0,0,2,9,9,0,5,5,2,2,2,2,0,0,2,0,3,0,0.0,-0.0027,0.3592,14,9
1284,2021,22,200,1,0,9,11,1,9,0,39,38,0,1,0,0,0,0,0,2,9,9,0,4,4,3,3,1,1,2,1,3,0,2,0,0.0,0.5426,0.4343,15,9
1284,2022,22,200,1,0,9,5,0,5,0,36,36,0,0,0,0,0,0,0,1,5,4,0,2,2,1,1,2,1,2,1,1,0,1,0,0.0,0.0,0.5256,9,5
1284,2023,22,200,1,0,9,19,1,18,0,46,42,0,0,0,0,0,0,0,1,17,16,0,11,11,6,5,0,0,3,2,1,0,1,0,0.0,0.2096,0.8258,22,18
1284,2024,22,200,1,0,9,14,1,13,0,47,45,0,0,0,0,0,0,0,1,13,13,0,10,10,2,1,1,1,2,1,1,0,1,0,0.0,0.4278,0.1673,17,13
1284,2025,22,200,1,0,9,9,0,9,0,43,37,0,0,0,0,0,0,0,1,8,8,0,7,7,1,1,1,0,2,1,1,0,6,0,0.0,-0.1732,0.0616,18,9
1285,2016,14,200,1,0,5,397,292,87,0,1422,162,162,18,15,0,0,0,0,1,331,325,17,255,243,65,54,34,29,27,18,46,15,4,0,0.0,0.0,3.9869,431,359
1285,2017,14,200,1,0,5,454,359,83,0,1427,162,162,12,27,0,0,0,0,1,399,389,11,265,258,95,86,51,44,25,17,37,14,4,0,0.0,0.0,11.1571,477,419
1285,2018,14,200,1,0,5,418,319,81,0,1416,162,162,18,25,0,0,0,0,2,373,363,17,260,248,72,66,51,42,31,19,34,8,3,0,0.0,0.0,6.4184,451,383
1285,2019,14,200,1,0,5,470,360,89,0,1437,162,162,21,28,0,0,0,0,1,416,403,21,297,275,80,73,56,45,31,15,38,17,7,0,0.0,0.0,5.2891,509,425
1285,2020,14,200,1,0,5,443,338,82,0,1429,162,162,23,28,0,0,0,0,1,392,378,22,289,269,78,74,39,30,26,14,26,10,6,0,0.0,0.0,5.5993,464,397
1285,2020,14,200,1,0,3,5,0,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
1285,2021,14,200,1,0,5,451,366,73,0,1430,162,162,12,31,0,0,0,0,2,409,399,12,299,290,74,69,32,29,31,20,38,12,2,0,0.0,0.0,11.407,476,420
1285,2022,14,200,1,0,5,432,331,74,0,1435,162,162,27,32,0,0,0,0,1,381,375,26,271,251,95,85,36,27,21,10,42,11,4,0,0.0,0.0,-0.5423,469,384
1285,2023,14,200,1,0,5,479,381,77,0,1437,162,162,21,22,0,0,0,0,2,427,421,20,329,312,72,67,33,27,38,24,30,12,8,0,0.0,0.0,7.139,510,442
1285,2024,14,200,1,0,5,432,337,74,0,1428,162,162,21,31,0,0,0,0,0,391,376,20,275,261,81,70,50,43,29,15,36,8,7,0,0.0,0.0,4.7279,478,397
1285,2025,14,200,1,0,5,443,355,74,0,1434,162,162,14,35,0,0,0,0,0,406,387,14,288,278,80,72,39,34,32,19,41,17,4,0,0.0,0.0,13.5136,484,420
1286,2016,15,200,1,0,4,588,237,336,0,1380,162,162,15,85,0,0,0,0,1,229,246,15,309,268,47,29,53,16,39,1,74,2,35,0,0.0,0.0,-16.0887,557,316
1286,2016,15,200,1,0,2,3,0,3,3,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0098,0,0
1286,2016,15,200,1,0,5,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
1286,2016,15,200,1,0,7,1,0,1,0,15,10,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0493,0.0163,2,1
1286,2016,15,200,1,0,3,24,1,23,0,27,24,0,0,1,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.2673,2,1
1286,2016,15,200,1,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
1286,2017,15,200,1,0,4,652,275,364,0,1351,162,162,13,111,0,0,0,0,1,250,266,13,318,278,56,32,47,18,49,9,71,4,27,0,0.0,-0.1374,-11.4859,568,341
