ID,Name,ORG,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,SH,SF,WP,BK,CI,DP,IR,IRS,PI,GB,FB,SB,CS,IP Clean
60727,Juan Robles,Chicago Cubs,23,0,0,3,27.1,130,113,38,23,10,0,5,21,19,12,0,21,3,0,2,2,1,0,3,19,12,492,23,31,4,1,27.33333333333334
53517,Ben Beckstedt,Cleveland Guardians,14,0,1,3,26.1,129,110,35,19,11,1,4,29,28,17,2,28,0,0,2,0,0,0,2,11,6,466,23,24,4,0,26.33333333333334
51445,Mike Carrillo,Houston Astros,37,0,5,2,31.2,129,113,26,16,7,0,3,15,14,11,3,32,3,1,1,1,0,0,6,23,5,466,31,24,2,0,31.666666666666664
58659,Dan Willis,St. Louis Cardinals,25,0,3,2,27.2,128,109,29,17,6,0,6,17,16,17,0,25,2,0,0,1,0,0,3,31,15,536,20,34,1,1,27.666666666666664
65639,Jonathan Thomas,Cincinnati Reds,27,0,2,1,29.1,126,107,22,13,5,2,2,12,12,15,4,30,2,0,2,2,0,0,1,15,4,469,20,37,4,0,29.33333333333334
65674,Mike Wilkey,Colorado Rockies,26,0,2,3,27.2,125,111,30,21,5,1,3,15,15,11,0,21,1,0,2,0,1,0,1,9,0,509,30,31,2,0,27.666666666666664
59266,Tim Cameron,Los Angeles Dodgers,24,0,3,0,26.1,124,104,28,17,3,0,8,19,17,18,1,22,1,0,0,0,0,1,2,20,3,470,25,27,3,0,26.33333333333334
58665,Kurt Carroll,Chicago Cubs,33,0,3,1,31.0,122,114,24,14,5,1,4,12,11,7,1,23,0,0,1,0,0,0,3,20,3,452,31,35,0,0,31.0
64128,Mike John,Milwaukee Brewers,16,0,0,1,25.2,122,100,23,11,7,0,5,21,20,19,0,22,2,0,1,5,0,0,0,12,3,496,25,31,2,1,25.666666666666664
61701,Mike Dominguez,Cleveland Guardians,19,0,2,1,28.0,121,110,26,19,4,0,3,12,10,10,1,29,0,0,1,0,0,0,1,17,3,467,21,32,0,1,28.0
63176,Hector Guerrero,Portland Loggers,18,0,0,0,25.1,120,102,29,18,5,1,5,15,15,16,0,25,0,0,2,1,0,0,1,12,7,463,19,31,3,0,25.33333333333334
55655,Phil Sacco,Washington Nationals,15,0,0,0,28.0,119,108,28,13,7,0,8,14,14,8,0,25,3,0,0,0,0,0,4,10,3,433,21,32,0,0,28.0
44754,Alexander Beltre,Milwaukee Brewers,24,0,2,4,27.0,118,110,33,24,4,1,4,19,18,5,0,29,2,0,1,4,0,0,3,17,4,490,21,27,2,0,27.0
55003,Jeff Curnes,Texas Rangers,18,0,2,3,26.2,115,107,30,21,7,0,2,12,12,7,1,25,0,1,0,0,0,0,1,8,0,469,27,26,1,0,26.666666666666664
64194,Mike Tucker,Cleveland Guardians,12,0,3,0,27.1,114,107,23,14,6,0,3,12,7,7,0,27,0,0,0,3,0,0,2,12,2,476,26,26,5,1,27.33333333333334
61560,Ron Estes,San Francisco Giants,15,0,0,0,27.1,113,97,18,10,7,0,1,11,11,15,0,27,0,0,1,2,1,0,3,10,5,467,14,38,2,0,27.33333333333334
63639,Jordan de la Cerda,Colorado Rockies,16,0,2,0,23.1,112,93,26,13,8,1,4,23,20,15,0,17,2,0,2,0,0,0,2,11,2,410,27,23,1,0,23.33333333333334
59113,Eddie Egge,Cleveland Guardians,17,0,1,2,25.2,112,97,29,18,6,0,5,13,12,14,3,17,0,0,1,1,0,0,7,16,4,431,20,31,4,0,25.666666666666664
54994,Edgar Ransom,-,17,0,1,1,24.1,112,103,31,13,11,0,7,21,20,6,0,17,3,0,0,0,0,0,2,8,1,410,25,27,1,1,24.33333333333334
58473,Jose Carrillo,Colorado Rockies,14,0,2,0,21.1,111,93,34,26,6,1,1,21,20,15,0,23,3,0,0,0,0,0,1,15,9,424,17,18,3,2,21.33333333333334
